SiteID,Country
APHP,France
ASSTPAVIA,Italy
BCH,USA
BIDMC,USA
CHOP,USA
FICHOS,
FRBDX,France
H12O,Spain
HPG23,Italy
ICSM1,Italy
ICSM20,Italy
ICSM5,Italy
KUMC,USA
MCWCTSI,USA
MGB,USA
MUSC,USA
NU,USA
NUH,Singapore
NWU,USA
POLIMI,ITALY
RP401,UK
UCLA,USA
UKER,Germany
UKFR,Germany
UKY,USA
UMICH,USA
UMM,Germany
UNCCH,USA
UNICZ,Italy
UPENN,USA
UTSW,USA
VA,USA
VA1,USA
VA2,USA
VA4,USA
VA5,USA
VA6,USA
VA7,USA
VA8,USA
VA9,USA
VA10,USA
VA12,USA
VA15,USA
VA16,USA
VA17,USA
VA19,USA
VA20,USA
VA21,USA
VA22,USA
VA23,USA
